"","order","judge_num","dataset","case_outcome","judge_vote","lower_dir","name","judge_full","circuit","confirm_yr","appt_pres","gender_judge","party_judge","jcs","year_birth","race_judge","jud_experience","minority_judge","dec_year","num_fem","mow_sex","abs_jcs"
"303",4442,3,"title7","Liberal","Liberal","Conservative","Goosby v. Johnson & Johnson","Fullam, John P.","3",1966,"Johnson","Male","Democrat",-0.663999974727631,1921,"White","No experience","White",2000,0,0,0.689499974250793
"304",4418,2,"title7","Liberal","Liberal","Liberal","Matima v. Celli","Straub, Chester J.","2",1998,"Clinton","Male","Democrat",-0.340999990701675,1937,"White","No experience","White",2000,0,0,0
"305",4418,3,"title7","Liberal","Liberal","Liberal","Matima v. Celli","Weinstein, Jack Bertrand","2",1967,"Johnson","Male","Democrat",-0.305999994277954,1921,"White","No experience","White",2000,0,0,0.0349999964237213
"306",4505,2,"title7","Conservative","Liberal","Liberal","Haskins v. Prudential Ins","Cole, R[ansey] Guy Jr.","6",1995,"Clinton","Male","Democrat",-0.28099998831749,1951,"Black","No experience","Minority",2000,0,0,0.0534999966621399
"307",4505,1,"title7","Conservative","Conservative","Liberal","Haskins v. Prudential Ins","Boggs, Danny Julian","6",1986,"Reagan","Male","Republican",0.361000001430511,1944,"White","No experience","White",2000,0,0,0.588500022888184
"308",4417,2,"title7","Liberal","Liberal","Conservative","Graham v. Long Island RR","Winter, Ralph K. Jr.","2",1981,"Reagan","Male","Republican",-0.061999998986721,1935,"White","No experience","White",2000,0,0,0.278999984264374
"309",4417,3,"title7","Liberal","Liberal","Conservative","Graham v. Long Island RR","Straub, Chester J.","2",1998,"Clinton","Male","Democrat",-0.340999990701675,1937,"White","No experience","White",2000,0,0,0
"310",4504,3,"title7","Liberal","Conservative","Conservative","Dews v. A.B. Dick & Co","Boggs, Danny Julian","6",1986,"Reagan","Male","Republican",0.361000001430511,1944,"White","No experience","White",2000,0,0,0.588500022888184
"311",4504,2,"title7","Liberal","Liberal","Conservative","Dews v. A.B. Dick & Co","Cole, R[ansey] Guy Jr.","6",1995,"Clinton","Male","Democrat",-0.28099998831749,1951,"Black","No experience","Minority",2000,0,0,0.0534999966621399
"312",4547,3,"title7","Liberal","Liberal","Conservative","Freeman v. Madison Metro Sch.Dist","Evans, Terence Thomas","7",1995,"Clinton","Male","Democrat",-0.43299999833107,1940,"White","Experienced","White",2000,1,1,0.681999981403351
"313",4547,1,"title7","Liberal","Liberal","Conservative","Freeman v. Madison Metro Sch.Dist","Posner, Richard Allen","7",1981,"Reagan","Male","Republican",0.00600000005215406,1939,"White","No experience","White",2000,1,1,0.243000000715256
"314",4648,2,"title7","Liberal","Liberal","Conservative","Morgan v. Amtrak","Nelson, Dorothy Wright","9",1979,"Carter","Female","Democrat",-0.430000007152557,1928,"White","No experience","White",2000,1,0,0.108500003814697
"315",4648,3,"title7","Liberal","Liberal","Conservative","Morgan v. Amtrak","Thomas, Sidney Runyan","9",1996,"Clinton","Male","Democrat",-0.218999996781349,1953,"White","No experience","White",2000,1,0,0.102500006556511
"316",4608,1,"title7","Conservative","Conservative","Conservative","Bradley v. Widnall","Arnold, Richard Sheppard","8",1980,"Carter","Male","Democrat",-0.280499994754791,1936,"White","Experienced","White",2000,0,0,0.419749975204468
"317",4608,3,"title7","Conservative","Conservative","Conservative","Bradley v. Widnall","Moody, James M.","8",1995,"Clinton","Male","Democrat",-0.386999994516373,1940,"White","No experience","White",2000,0,0,0.526250004768372
"318",4682,3,"title7","Conservative","Conservative","Conservative","Rice-Lamar v. City of Ft Lauderdale","Cudahy, Richard Dickson","11",1979,"Carter","Male","Democrat",-0.381999999284744,1926,"White","No experience","White",2000,0,0,0.749500036239624
"319",4682,2,"title7","Conservative","Conservative","Conservative","Rice-Lamar v. City of Ft Lauderdale","Marcus, Stanley","11",1997,"Clinton","Male","Democrat",-0.238000005483627,1946,"White","Experienced","White",2000,0,0,0.605499982833862
"320",4546,2,"title7","Conservative","Conservative","Conservative","Mason v. Southern Illinois Univ.","Ripple, Kenneth Francis","7",1985,"Reagan","Male","Republican",0.375,1943,"White","No experience","White",2000,0,0,0.126000002026558
"321",4546,1,"title7","Conservative","Conservative","Conservative","Mason v. Southern Illinois Univ.","Bauer, William J.","7",1974,"Ford","Male","Republican",0.00600000005215406,1926,"White","Experienced","White",2000,0,0,0.243000000715256
"322",4607,1,"title7","Liberal","Liberal","Liberal","Ross v. Douglas County","McMillian, Theodore","8",1978,"Carter","Male","Democrat",-0.368999987840652,1919,"Black","No experience","Minority",2000,0,0,0.508249998092651
"323",4607,3,"title7","Liberal","Liberal","Liberal","Ross v. Douglas County","Ross, Donald Roe","8",1970,"Nixon","Male","Republican",0.46900001168251,1922,"White","No experience","White",2000,0,0,0.329750001430511
"324",4658,2,"title7","Liberal","Liberal","Liberal","Dodoo v. Seagate Tech","McWilliams, Robert Hugh Jr.","10",1970,"Nixon","Male","Republican",0.296999990940094,1916,"White","Experienced","White",2000,0,0,0.0564999878406525
"325",4658,1,"title7","Liberal","Liberal","Liberal","Dodoo v. Seagate Tech","Baldock, Bobby Ray","10",1985,"Reagan","Male","Republican",0.24600000679493,1936,"White","Experienced","White",2000,0,0,0.00550000369548798
"326",4441,1,"title7","Conservative","Conservative","Conservative","Watson v. Eastman Kodak","Becker, Edward R.","3",1981,"Reagan","Male","Republican",0.0160000007599592,1933,"White","Experienced","White",2001,0,0,0.164750009775162
"327",4441,2,"title7","Conservative","Conservative","Conservative","Watson v. Eastman Kodak","Scirica, Anthony Joseph","3",1987,"Reagan","Male","Republican",0.0160000007599592,1940,"White","Experienced","White",2001,0,0,0.164750009775162
"328",4478,2,"title7","Liberal","Liberal","Conservative","Blow v. City of San Antonio","Higginbotham, Patrick Errol","5",1982,"Reagan","Male","Republican",0.462999999523163,1938,"White","Experienced","White",2001,0,0,0.0642499923706055
